,market_forward_return
20190611,-0.005584
20190612,0.000468
20190613,-0.009883
20190614,0.00196
20190617,0.000878
20190618,0.009565
20190619,0.023756
20190620,0.004975
20190621,0.002055
20190624,-0.008668
20190625,-0.001942
20190626,0.006891
20190627,-0.005978
20190628,0.022164
20190701,-0.000315
20190702,-0.009422
20190703,-0.003321
20190704,0.001933
20190705,-0.025803
20190708,-0.00175
20190709,-0.004415
20190710,0.000843
20190711,0.004382
20190712,0.003972
20190715,-0.001553
20190716,-0.002017
20190717,-0.010409
20190718,0.007936
20190719,-0.012731
20190722,0.004493
20190723,0.008046
20190724,0.004817
20190725,0.002445
20190726,-0.0012
20190729,0.003853
20190730,-0.006718
20190731,-0.008095
20190801,-0.014071
20190802,-0.016159
20190805,-0.015573
20190806,-0.003196
20190807,0.009345
20190808,-0.007085
20190809,0.014503
20190812,-0.0063
20190813,0.004167
20190814,0.00245
20190815,0.00285
20190816,0.02099
20190819,-0.001073
20190820,0.000114
20190821,0.001078
20190822,0.004852
20190823,-0.011686
20190826,0.013489
20190827,-0.002907
20190828,-0.00098
20190829,-0.00162
20190830,0.013121
20190902,0.002068
20190903,0.009303
20190904,0.009621
20190905,0.004601
20190906,0.00838
20190909,-0.001169
20190910,-0.004101
20190911,0.007453
20190912,-0.000159
20190916,-0.017367
20190917,0.002532
20190918,0.004562
20190919,
